c.name,Corrupt/non-corrupt,c.betweenness,c.approxBetweenness,c.closeness,c.pagerank,c.clusteringCoefficient,c.harmonic,c.degree,c.trianglesCount
"""A.B.J.Z DRIVER HIRE "" LTD",0,15,63.55723098,1,3.175309637,0,0.001941748,6,0
1221 LTD,0,15,63.55723098,1,3.175309637,0,0.001941748,6,0
AARTOFT LIMITED,0,21,127.114462,1,3.616960675,0,0.002265372,7,0
ABBERTON CONSULTANTS LIMITED,1,7194.382362,33761.35887,0.157606998,3.289190947,0.227272727,0.056654163,12,15
ADAM MOORE LIMITED,0,6,50.84578478,1,2.292007493,0,0.001294498,4,0
ADTONES LTD,0,55,169.4859493,1,5.383562947,0,0.003559871,11,0
AFRICAN PLATINUM LIMITED,1,1197,6012.514051,0.464968153,8.279669592,0,0.013403452,20,0
ALENTER TRADING LIMITED,1,23567.38454,99097.2583,0.282633053,3.620707432,0.457894737,0.101128448,20,87
ALGERNA INVESTMENT LIMITED,1,3021,19003.61206,0.249443758,1.483634793,0,0.085810217,4,0
ALI HUSSAIN LTD,0,3,8.474297464,1,1.850356449,0,0.000970874,3,0
ALPS VENTURES LIMITED,1,6033,25194.08636,0.191570154,3.022674623,0,0.068899933,7,0
ALTERFOX LIMITED,1,4284.006081,13772.80964,0.2854314,2.852078423,0.393939394,0.104730698,12,26
AMETHYST BES LIMITED,0,3,8.474297464,1,1.850356449,0,0.000970874,3,0
AMOUAGE EUROPE LIMITED,1,8321.504545,35384.85278,0.282553906,3.996293973,0.075757576,0.1030047,12,5
ANCUS INVESTMENT CO. LTD,0,15,63.55723098,1,3.175309637,0,0.001941748,6,0
ANGRYESPRESSO LTD,0,6,12.7114462,1,2.292007493,0,0.001294498,4,0
ANNA SHUMILOVA LIMITED,0,42.08452381,153.2536343,0.65625,2.153037374,0.511111111,0.005016181,10,23
ANS CLIENT SOLUTIONS LIMITED,0,10,33.89718986,1,2.733658578,0,0.001618123,5,0
ANZEN LIMITED,0,45,190.6716929,1,4.941912148,0,0.003236246,10,0
APOLLO CAPITAL INVEST LTD,1,5030,23151.78067,0.204499392,2.493594564,0,0.070782863,6,0
AQVENOR LTD.,1,129.1783094,487.9816745,0.4,2.037259471,0.266666667,0.007659115,6,4
ARCADE MANAGEMENT LIMITED,1,7035,27257.57779,0.282001118,3.378962591,0,0.102195639,8,0
ARCON CONSULTING LTD,1,4026,21067.1035,0.281529018,2.067964313,0,0.10154839,5,0
ARDON LIMITED,1,7035,14563.08019,0.282001118,3.378962591,0,0.102195639,8,0
ARMITAGE - WINTER LIMITED,0,36,67.79437971,1,4.500262794,0,0.002912621,9,0
ARNEL ESTIBAL LIMITED,0,6,25.42289239,1,2.292007493,0,0.001294498,4,0
ARRELL TRADING LIMITED,1,4026,21084.05209,0.191424777,2.143000967,0,0.068468434,5,0
ARTEGA TRADE LIMITED,1,4026,12575.85744,0.281529018,2.067964313,0,0.10154839,5,0
ASGARD LIMITED,0,21,76.26867718,1,3.616960675,0,0.002265372,7,0
ASHLAND SPECIALTIES UK LIMITED,1,11027,43968.89239,0.282633053,3.706183494,0.054545455,0.102923794,11,3
ASTUTE PARTNERS LTD,1,114.5059524,365.0000979,0.564102564,3.666896798,0.145454545,0.005016181,11,8
AURI MONTES LTD.,1,10284.73529,51952.53852,0.253645048,5.026415507,0.076190476,0.089731469,15,8
AVERDO PROPERTY MANAGEMENT LIMITED,1,45,76.26867718,1,4.941912148,0,0.003236246,10,0
AVONTON LIMITED,1,4026,12575.85744,0.281529018,2.067964313,0,0.10154839,5,0
B2B COMPANY SECRETARY LIMITED,1,7035,27257.57779,0.220401922,3.256603551,0,0.077943828,8,0
BAE SYSTEMS (FARNBOROUGH 7) LIMITED,1,51,93.2172721,0.923076923,3.018346034,0.181818182,0.003721683,11,10
BALMORE INVEST LIMITED,1,5485.611823,19178.63959,0.324541653,4.380221954,0.498461538,0.116185082,26,162
BENDALL METALS LTD,0,15,63.55723098,1,3.175309637,0,0.001941748,6,0
BERGHER LIMITED,1,17727.80352,71341.88904,0.323708694,3.297575761,0.596491228,0.114286485,19,102
